iter	Passed	Remaining
565	16174	583278
566	16205	583346
567	16233	583308
568	16262	583281
569	16290	583226
570	16319	583222
571	16349	583223
572	16380	583299
573	16409	583263
574	16439	583289
575	16469	583334
576	16499	583331
577	16529	583357
578	16557	583314
579	16586	583298
580	16616	583330
581	16643	583231
582	16671	583182
583	16699	583132
584	16727	583094
585	16757	583112
586	16787	583131
587	16816	583111
588	16846	583128
589	16874	583099
590	16906	583187
591	16936	583184
592	16964	583144
593	16994	583168
594	17026	583247
595	17055	583218
596	17081	583104
597	17111	583135
598	17140	583120
599	17167	583052
600	17198	583091
601	17227	583077
602	17256	583065
603	17283	582982
604	17313	582976
605	17343	582996
606	17372	582994
607	17401	582970
608	17428	582907
609	17458	582897
610	17489	582980
611	17519	582968
612	17546	582912
613	17575	582884
614	17603	582839
615	17634	582870
616	17663	582875
617	17693	582868
618	17722	582859
619	17749	582799
620	17779	582805
621	17811	582871
622	17840	582871
623	17870	582868
624	17897	582800
625	17926	582798
626	17958	582858
627	17985	582792
628	18014	582757
629	18042	582709
630	18068	582610
631	18098	582632
632	18125	582526
633	18153	582479
634	18185	582560
635	18215	582580
636	18248	582689
637	18277	582672
638	18305	582610
639	18333	582577
640	18364	582619
641	18393	582600
642	18422	582598
643	18450	582534
644	18477	582462
645	18509	582543
646	18537	582497
647	18563	582369
648	18594	582403
649	18622	582375
650	18653	582417
651	18684	582447
652	18712	582399
653	18742	582427
654	18769	582329
655	18798	582326
656	18825	582256
657	18855	582256
658	18886	582300
659	18912	582200
660	18940	582126
661	18970	582148
662	19002	582235
663	19032	582246
664	19062	582238
665	19090	582212
666	19119	582189
667	19150	582212
668	19178	582176
669	19205	582110
670	19236	582137
671	19269	582237
672	19295	582135
673	19325	582139
674	19352	582073
675	19381	582058
676	19414	582155
677	19443	582119
678	19472	582097
679	19501	582087
680	19529	582053
681	19559	582056
682	19588	582023
683	19616	581998
684	19650	582121
685	19677	582021
686	19706	582012
687	19736	582014
688	19762	581911
689	19793	581951
690	19825	582040
691	19856	582052
692	19882	581964
693	19910	581897
694	19940	581908
695	19972	581988
696	20002	582001
697	20029	581931
698	20056	581850
699	20085	581825
700	20117	581892
701	20145	581846
702	20175	581848
703	20207	581922
704	20237	581918
705	20267	581917
706	20296	581905
707	20323	581835
708	20352	581803
709	20380	581776
710	20408	581726
711	20435	581628
712	20464	581607
713	20494	581624
714	20523	581599
715	20554	581639
716	20584	581640
717	20610	581537
718	20637	581470
719	20668	581514
720	20696	581460
721	20729	581538
722	20758	581529
723	20787	581511
724	20815	581468
725	20846	581500
726	20874	581444
727	20905	581476
728	20934	581462
729	20962	581419
730	20991	581394
731	21019	581344
732	21047	581297
733	21076	581272
734	21108	581318
735	21138	581350
736	21166	581297
737	21196	581297
738	21227	581331
739	21256	581297
740	21286	581307
741	21318	581384
742	21347	581346
743	21375	581309
744	21404	581285
745	21434	581293
746	21466	581355
747	21494	581296
748	21521	581236
749	21551	581217
750	21583	581292
751	21609	581193
752	21639	581190
753	21669	581193
754	21698	581165
755	21728	581175
756	21757	581160
757	21787	581152
758	21816	581146
759	21847	581169
760	21876	581153
761	21906	581157
762	21937	581188
763	21964	581123
764	21992	581050
765	22021	581037
766	22050	581010
767	22081	581039
768	22111	581049
769	22141	581051
770	22173	581101
771	22201	581053
772	22230	581032
773	22257	580963
774	22284	580903
775	22314	580884
776	22342	580842
777	22370	580810
778	22400	580794
779	22427	580727
780	22454	580667
781	22484	580645
782	22513	580623
783	22541	580593
784	22567	580496
785	22597	580493
786	22624	580411
787	22653	580403
788	22682	580374
789	22709	580306
790	22738	580288
791	22767	580247
792	22796	580223
793	22826	580240
794	22858	580285
795	22886	580240
796	22914	580181
797	22941	580123
798	22970	580109
799	23000	580092
800	23031	580116
801	23061	580120
802	23088	580061
803	23115	579989
804	23145	579987
805	23176	580016
806	23203	579940
807	23233	579944
808	23261	579910
809	23289	579851
810	23317	579797
811	23347	579799
812	23376	579775
813	23405	579766
814	23437	579803
815	23468	579844
816	23497	579815
817	23525	579768
818	23554	579736
819	23584	579754
820	23615	579769
821	23644	579756
822	23671	579688
823	23698	579607
824	23726	579566
825	23755	579542
826	23786	579558
827	23814	579508
828	23846	579574
829	23872	579475
830	23906	579577
831	23936	579560
832	23969	579640
833	23998	579608
834	24026	579567
835	24054	579520
836	24081	579462
837	24112	579468
838	24141	579442
839	24168	579387
840	24198	579381
841	24225	579313
842	24253	579276
843	24285	579311
844	24317	579353
845	24349	579399
846	24377	579362
847	24404	579291
848	24432	579238
849	24461	579212
850	24493	579259
851	24521	579220
852	24552	579249
853	24585	579319
854	24614	579290
855	24644	579291
856	24672	579234
857	24700	579187
858	24729	579178
859	24758	579150
860	24790	579191
861	24817	579132
862	24847	579120
863	24876	579108
864	24908	579145
865	24935	579075
866	24963	579018
867	24994	579044
868	25025	579061
869	25052	579002
870	25081	578983
871	25109	578928
872	25136	578851
873	25167	578879
874	25198	578907
875	25227	578888
876	25255	578826
877	25282	578759
878	25312	578753
879	25341	578746
880	25371	578741
881	25400	578714
882	25431	578728
883	25462	578746
884	25492	578762
885	25522	578756
886	25553	578778
887	25582	578748
888	25612	578734
889	25641	578710
890	25671	578707
891	25699	578678
892	25728	578643
893	25757	578612
894	25788	578634
895	25815	578562
896	25842	578494
897	25872	578501
898	25904	578533
899	25930	578459
900	25960	578446
901	25989	578432
902	26018	578399
903	26047	578379
904	26074	578310
905	26102	578269
906	26134	578299
907	26163	578271
908	26192	578257
909	26219	578188
910	26250	578201
911	26277	578135
912	26308	578143
913	26335	578079
914	26365	578074
915	26394	578062
916	26425	578067
917	26454	578045
918	26484	578047
919	26511	577988
920	26542	577990
921	26574	578034
922	26605	578051
923	26637	578100
924	26666	578077
925	26696	578060
926	26723	577999
927	26754	578020
928	26785	578044
929	26815	578028
930	26844	578005
931	26872	577962
932	26903	577970
933	26934	577991
934	26962	577946
935	26991	577932
936	27019	577873
937	27052	577927
938	27080	577883
939	27110	577876
940	27142	577930
941	27170	577886
942	27200	577882
943	27231	577889
944	27259	577840
945	27288	577825
946	27320	577845
947	27348	577815
948	27376	577763
949	27405	577729
950	27435	577735
951	27465	577719
952	27494	577708
953	27524	577696
954	27554	577692
955	27584	577697
956	27616	577730
957	27643	577647
958	27672	577630
959	27701	577603
960	27731	577594
961	27759	577548
962	27787	577515
963	27818	577513
964	27847	577492
965	27878	577502
966	27907	577484
967	27938	577499
968	27966	577453
969	27993	577394
970	28024	577407
971	28053	577385
972	28083	577380
973	28114	577380
974	28143	577354
975	28171	577315
976	28201	577314
977	28229	577256
978	28255	577172
979	28285	577159
980	28315	577167
981	28343	577116
982	28374	577132
983	28402	577077
984	28430	577047
985	28461	577054
986	28491	577053
987	28519	577007
988	28548	576966
989	28577	576946
990	28607	576936
991	28635	576899
992	28668	576944
993	28696	576908
994	28724	576863
995	28752	576811
996	28780	576758
997	28808	576727
998	28838	576714
999	28866	576663
1000	28895	576636
1001	28926	576652
1002	28953	576587
1003	28981	576545
1004	29011	576544
1005	29041	576520
1006	29071	576524
1007	29097	576441
1008	29126	576419
1009	29155	576374
1010	29184	576362
1011	29215	576366
1012	29246	576376
1013	29275	576353
1014	29304	576327
1015	29336	576364
1016	29364	576327
1017	29393	576285
1018	29421	576242
1019	29450	576225
1020	29479	576201
1021	29510	576212
1022	29539	576186
1023	29569	576171
1024	29603	576243
